School Name,Suburb,State,Postcode,Type,Sector,ACARA ID
Cosgrove High School,Glenorchy,TAS,7010,Secondary,Gov,40054
Cottesloe Primary School,Peppermint Grove,WA,6011,Primary,Gov,48342
Court Grammar School,Mundijong,WA,6123,Combined,Non-Gov,49140
Courtenay Gardens Primary School,Cranbourne North,VIC,3977,Primary,Gov,45181
Coutts Crossing Public School,Coutts Crossing,NSW,2460,Primary,Gov,42189
Covenant Christian School,Belrose,NSW,2085,Combined,Non-Gov,43700
Covenant Christian School,Gordon,ACT,2906,Combined,Non-Gov,49992
Covenant College,Bell Post Hill,VIC,3215,Combined,Non-Gov,46257
Cowan Public School,Cowan,NSW,2081,Primary,Gov,41205
Cowandilla Primary School,Cowandilla,SA,5033,Primary,Gov,49152
Cowaramup Primary School,Cowaramup,WA,6284,Primary,Gov,48344
Cowell Area School,Cowell,SA,5602,Combined,Gov,49422
Cowes Primary School,Cowes,VIC,3922,Primary,Gov,44246
Cowper Public School,Cowper,NSW,2460,Primary,Gov,42190
Cowra High School,Cowra,NSW,2794,Secondary,Gov,43103
Cowra Public School,Cowra,NSW,2794,Primary,Gov,42966
Cowwarr Primary School,Cowwarr,VIC,3857,Primary,Gov,44390
Crabbes Creek Public School,Crabbes Creek,NSW,2483,Primary,Gov,42191
Crafers Primary School,Crafers,SA,5152,Primary,Gov,49153
Craig Davis College,North Wollongong,NSW,2500,Special,Non-Gov,50579
Craigburn Primary School,Flagstaff Hill,SA,5159,Primary,Gov,49631
Craigie Heights Primary School,Craigie,WA,6025,Primary,Gov,48791
Craigieburn Primary School,Craigieburn,VIC,3064,Primary,Gov,44836
Craigieburn Secondary College,Craigieburn,VIC,3064,Secondary,Gov,45496
Craigieburn South Primary School,Craigieburn,VIC,3064,Primary,Gov,45108
Craigmore High School,Blakeview,SA,5114,Secondary,Gov,49548
Craigmore South Primary School,Craigmore,SA,5114,Primary,Gov,49649
Craigslea State High School,Chermside West,QLD,4032,Secondary,Gov,47423
Craigslea State School,Chermside West,QLD,4032,Primary,Gov,46444
Cranbourne Carlisle Primary School,Cranbourne,VIC,3977,Primary,Gov,45265
Cranbourne East Primary School,Cranbourne East,VIC,3977,Primary,Gov,50277
Cranbourne East Secondary College,Cranbourne East,VIC,3977,Secondary,Gov,50278
Cranbourne Park Primary School,Cranbourne,VIC,3977,Primary,Gov,44891
Cranbourne Primary School,Cranbourne,VIC,3977,Primary,Gov,44412
Cranbourne Secondary College,Cranbourne,VIC,3977,Secondary,Gov,45372
Cranbourne South Primary School,Cranbourne South,VIC,3977,Primary,Gov,44829
Cranbourne West Primary School,Cranbourne,VIC,3977,Primary,Gov,45072
Cranbourne West Secondary College,Cranbourne West,VIC,3977,Secondary,Gov,52920
Cranbrook Primary School,Cranbrook,WA,6321,Primary,Gov,48345
Cranbrook School,Bellevue Hill,NSW,2023,Secondary,Non-Gov,43969
Cranbrook Junior School,Rose Bay,NSW,2029,Primary,Non-Gov,40854
Cranbrook State School,Cranbrook,QLD,4814,Primary,Gov,47322
Cranebrook High School,Cranebrook,NSW,2749,Secondary,Gov,41844
Cranleigh School,Holt,ACT,2615,Special,Gov,49908
Crawford Public School,Doonside,NSW,2767,Primary,Gov,41757
Crawford State School,Crawford,QLD,4610,Primary,Gov,46682
Creaney Education Support Centre,Kingsley,WA,6026,Special,Gov,48823
Creaney Primary School,Kingsley,WA,6026,Primary,Gov,48669
Creek Street Christian College,Bendigo,VIC,3550,Combined,Non-Gov,46266
Creekside K-9 College,Caroline Springs,VIC,3023,Combined,Gov,45249
Crescent Head Public School,Crescent Head,NSW,2440,Primary,Gov,42192
Crescent Lagoon State School,West Rockhampton,QLD,4700,Primary,Gov,46882
Cressy District High School,Cressy,TAS,7302,Combined,Gov,40072
Crestmead State School,Crestmead,QLD,4132,Primary,Gov,47341
Crestwood High School,Baulkham Hills,NSW,2153,Secondary,Gov,41839
Crestwood Public School,Baulkham Hills,NSW,2153,Primary,Gov,41739
Creswick North Primary School,Creswick,VIC,3363,Primary,Gov,44401
Creswick Primary School,Creswick,VIC,3363,Primary,Gov,44049
Crib Point Primary School,Crib Point,VIC,3919,Primary,Gov,44555
Cringila Public School,Cringila,NSW,2502,Primary,Gov,42856
Cromehurst School,Lindfield,NSW,2070,Special,Gov,41309
Cromer Public School,Cromer,NSW,2099,Primary,Gov,41282
Cronulla High School,Cronulla,NSW,2230,Secondary,Gov,41164
Cronulla Public School,Cronulla,NSW,2230,Primary,Gov,41011
Cronulla South Public School,Cronulla,NSW,2230,Primary,Gov,41061
Crookwell High School,Crookwell,NSW,2583,Secondary,Gov,42922
Crookwell Public School,Crookwell,NSW,2583,Primary,Gov,42756
Croppa Creek Public School,Croppa Creek,NSW,2411,Primary,Gov,42495
Crossmaglen Public School,Crossmaglen,NSW,2441,Primary,Gov,42193
Crossways Lutheran School Ceduna,Ceduna,SA,5690,Combined,Non-Gov,49789
Crown Street Public School,Surry Hills,NSW,2010,Primary,Gov,41076
Crow's Nest State School,Crows Nest,QLD,4355,Combined,Gov,46612
Croxton School,Northcote,VIC,3070,Special,Gov,44782
Croxton School-Transition Learning Centre,Thornbury,VIC,3071,Special,Gov,50473
Croydon Community School,Croydon,VIC,3136,Secondary,Gov,45374
Croydon Community School-Capacity Building,Croydon,VIC,3136,Secondary,Gov,52139
Croydon Community School-OPTIONS,Croydon,VIC,3136,Secondary,Gov,52141
Croydon Community School-Woori Yallock Farm School Campus,Woori Yallock,VIC,3139,Secondary,Gov,52136
Croydon Hills Primary School,Croydon Hills,VIC,3136,Primary,Gov,45117
Croydon Park Public School,Croydon Park,NSW,2133,Primary,Gov,41135
Croydon Primary School,Croydon,VIC,3136,Primary,Gov,50175
Croydon Public School,Croydon,NSW,2132,Primary,Gov,41134
Croydon Special Developmental School,Croydon South,VIC,3136,Special,Gov,45086
Croydon State School,Croydon,QLD,4871,Primary,Gov,46525
Crusoe 7-10 Secondary College,Kangaroo Flat,VIC,3555,Secondary,Gov,45333
Crusoe 7-10 Secondary College Bendigo Teaching Unit,Bendigo,VIC,3550,Secondary,Gov,52191
Crystal Brook Primary School,Crystal Brook,SA,5523,Primary,Gov,49154
Crystal Creek Public School,Crystal Creek,NSW,2484,Primary,Gov,42194
Cudal Public School,Cudal,NSW,2864,Primary,Gov,42968
Cudgee Primary School,Cudgee,VIC,3265,Primary,Gov,44043
Cudgegong Valley Public School,Mudgee,NSW,2850,Primary,Gov,43084
Cudgen Public School,Cudgen,NSW,2487,Primary,Gov,42195
Cue Primary School,Cue,WA,6640,Combined,Gov,48346
Culburra Public School,Culburra Beach,NSW,2540,Primary,Gov,42884
Culcairn Public School,Culcairn,NSW,2660,Primary,Gov,42564
Cullen Bullen Public School,Cullen Bullen,NSW,2790,Primary,Gov,42969
Cumberland High School,Carlingford,NSW,2118,Secondary,Gov,41849
Cummins Area School,Cummins,SA,5631,Combined,Gov,49439
Cumnock Public School,Cumnock,NSW,2867,Primary,Gov,42970
Cunderdin District High School,Cunderdin,WA,6407,Combined,Gov,48171
Cundletown Public School,Cundletown,NSW,2430,Primary,Gov,42196
Cunnamulla P-12 State School,Cunnamulla,QLD,4490,Combined,Gov,46609
Curl Curl North Public School,North Curl Curl,NSW,2099,Primary,Gov,41263
Curlewis Public School,Curlewis,NSW,2381,Primary,Gov,42432
Currabubula Public School,Currabubula,NSW,2342,Primary,Gov,42433
Currajong State School,Gulliver,QLD,4812,Primary,Gov,46653
Currambena Primary School,Lane Cove,NSW,2066,Primary,Non-Gov,43734
Currambine Primary School,Currambine,WA,6028,Primary,Gov,48740
Curramulka Primary School,Curramulka,SA,5580,Primary,Gov,49155
Curran Public School,Macquarie Fields,NSW,2564,Primary,Gov,41485
Currans Hill Public School,Currans Hill,NSW,2567,Primary,Gov,41521
Currimundi Special School,Dicky Beach,QLD,4551,Special,Gov,47610
Currimundi State School,Currimundi,QLD,4551,Primary,Gov,47291
Currumbin Community Special School,Currumbin Waters,QLD,4223,Special,Gov,47606
Currumbin State School,Currumbin,QLD,4223,Primary,Gov,47047
Currumbin Valley State School,Currumbin Valley,QLD,4223,Primary,Gov,46887
Curtin Primary School,Curtin,ACT,2605,Primary,Gov,49914
Curtin Primary School,Manning,WA,6152,Primary,Gov,48419
Cygnet Primary School,Cygnet,TAS,7112,Primary,Gov,40141
Cyril Jackson Senior Campus,Bassendean,WA,6054,Secondary,Gov,40448
Cyril Jackson Senior Campus Education Support Centre,Bassendean,WA,6054,Special,Gov,40704
Daceyville Public School,Daceyville,NSW,2032,Primary,Gov,41136
Dagun State School,Dagun,QLD,4570,Primary,Gov,46932
Daintree State School,Daintree,QLD,4873,Primary,Gov,46994
Daisy Hill State School,Daisy Hill,QLD,4127,Primary,Gov,46473
Dajarra State School,Dajarra,QLD,4825,Primary,Gov,47219
Dakabin State High School,Dakabin,QLD,4503,Secondary,Gov,47521
Dakabin State School,Kallangur,QLD,4503,Primary,Gov,47395
Dalby Christian College,Dalby,QLD,4405,Combined,Non-Gov,48056
Dalby South State School,Dalby,QLD,4405,Primary,Gov,46841
Dalby State High School,Dalby,QLD,4405,Secondary,Gov,47430
Dalby State High School - Bunya Campus,Dalby,QLD,4405,Secondary,Gov,50533
Dalby State School,Dalby,QLD,4405,Primary,Gov,46414
Dale Christian College WA,Armadale,WA,6112,Combined,Non-Gov,49065
Dalkeith Primary School,Dalkeith,WA,6009,Primary,Gov,48348
Dallarnil State School,Dallarnil,QLD,4621,Primary,Gov,46960
Dallas Brooks Community Primary School,Dallas,VIC,3047,Primary,Gov,50279
Dalmain Primary School,Kingsley,WA,6026,Primary,Gov,48699
Dalmeny Public School,Prestons,NSW,2170,Primary,Gov,41524
Dalton Public School,Dalton,NSW,2581,Primary,Gov,42758
Dalveen State School,Dalveen,QLD,4374,Primary,Gov,46631
Dalwallinu District High School,Dalwallinu,WA,6609,Combined,Gov,48172
Dalyellup College,Dalyellup,WA,6230,Secondary,Gov,48259
Dalyellup Primary School,Dalyellup,WA,6230,Primary,Gov,50441
Damascus College,Mount Clear,VIC,3350,Secondary,Non-Gov,45679
Damascus College - St Brendan's,Dunnstown,VIC,3352,Secondary,Non-Gov,53453
Dampier Primary School,Dampier,WA,6713,Primary,Gov,48349
Dandaragan Primary School,Dandaragan,WA,6507,Primary,Gov,48351
Dandenong High School,Dandenong,VIC,3175,Secondary,Gov,45588
Dandenong High School Burremah Grassmere Annexe,Doveton,VIC,3177,Secondary,Gov,50178
Dandenong High School-Cleeland Campus,Dandenong,VIC,3175,Secondary,Gov,50177
Dandenong High School-Myuna Secondary Teaching Unit,Doveton,VIC,3177,Secondary,Gov,52144
Dandenong North Primary School,Dandenong,VIC,3175,Primary,Gov,44811
Dandenong Primary School,Dandenong,VIC,3175,Primary,Gov,44271
Dandenong Ranges Steiner School,Emerald,VIC,3782,Primary,Non-Gov,46351
Dandenong Ranges Steiner School - School Road Campus,Menzies Creek,VIC,3159,Primary,Non-Gov,40670
Dandenong South Primary School,Dandenong,VIC,3175,Primary,Gov,44852
Dandenong Valley Special Developmental School,Narre Warren,VIC,3805,Special,Gov,45104
Dandenong West Primary School,Dandenong,VIC,3175,Primary,Gov,44725
Danebank - An Anglican School for Girls,Hurstville,NSW,2220,Combined,Non-Gov,43914
Dapto High School,Dapto,NSW,2530,Secondary,Gov,42912
Dapto Public School,Horsley,NSW,2530,Primary,Gov,42759
Dara School,Morphettville,SA,5043,Combined,Non-Gov,52467
Daramalan College,Dickson,ACT,2602,Secondary,Non-Gov,40332
Darcy Road Public School,Wentworthville,NSW,2145,Primary,Gov,41712
Dardanup Primary School,Dardanup,WA,6236,Primary,Gov,48352
Dareton Public School,Dareton,NSW,2717,Primary,Gov,42971
Darkan Primary School,Darkan,WA,6392,Primary,Gov,40284
Darkinjung Barker,Yarramalong,NSW,2259,Primary,Non-Gov,52353
Ngarralingayil Barker,Wollombi,NSW,2325,Primary,Non-Gov,52879
Darley Primary School,Darley,VIC,3340,Primary,Gov,45080
Darling Downs Adventist College,Toowoomba,QLD,4350,Combined,Non-Gov,48019
Darling Heights State School,Darling Heights,QLD,4350,Primary,Gov,47315
Darling Point Special School,Manly,QLD,4179,Special,Gov,47594
Darling Range Sports College,Forrestfield,WA,6058,Secondary,Gov,48210
Darlinghurst Public School,Potts Point,NSW,2011,Primary,Gov,41137
Darlington Point Public School,Darlington Point,NSW,2706,Primary,Gov,42565
Darlington Primary School,Darlington,WA,6070,Primary,Gov,48353
Darlington Primary School,Seacombe Gardens,SA,5047,Primary,Gov,49397
Darlington Public School,Chippendale,NSW,2008,Primary,Gov,41012
Darlington State School,Darlington,QLD,4285,Primary,Gov,46760
Darnum Primary School,Darnum,VIC,3822,Primary,Gov,44455
Darra State School,Darra,QLD,4076,Primary,Gov,47170
Darrang Primary School,Knoxfield,VIC,3180,Primary,Gov,45216
Darraweit Guim Primary School,Darraweit Guim,VIC,3756,Primary,Gov,44160
Dartmoor Primary School,Dartmoor,VIC,3304,Primary,Gov,44186
Darul Ulum College of Victoria,Fawkner,VIC,3060,Combined,Non-Gov,46345
Darul Ulum College of Victoria - Darul Ulum Academy,Mickleham,VIC,3064,Combined,Non-Gov,53240
Darwin High School,The Gardens,NT,820,Secondary,Gov,40337
Darwin Middle School,The Gardens,NT,820,Secondary,Gov,50140
Davallia Primary School,Duncraig,WA,6023,Primary,Gov,48600
David Scott School,Frankston,VIC,3199,Special,Non-Gov,52481
David Scott School - High Street Campus,Frankston,VIC,3199,Special,Non-Gov,52566
Davidson High School,Frenchs Forest,NSW,2086,Secondary,Gov,41344
Davis Creek Primary School,Tarneit,VIC,3029,Primary,Gov,52775
Dawson Park Primary School,Forrestfield,WA,6058,Primary,Gov,48659
Dawson Public School,Dharruk,NSW,2770,Primary,Gov,41742
Dawul Remote Community School,Kununurra,WA,6743,Primary,Gov,48689
Dayboro State School,Dayboro,QLD,4521,Primary,Gov,46547
Daylesford Dharma School,Daylesford,VIC,3460,Primary,Non-Gov,46389
Daylesford Primary School,Daylesford,VIC,3460,Primary,Gov,44327
Daylesford Secondary College,Daylesford,VIC,3460,Secondary,Gov,45329
Dayton Primary School,Dayton,WA,6055,Primary,Gov,53014
"De La Salle Catholic College, Caringbah",Caringbah,NSW,2229,Secondary,Non-Gov,43486
De La Salle College,Malvern,VIC,3144,Combined,Non-Gov,45771
De La Salle College - Holy Eucharist Campus,Malvern East,VIC,3145,Combined,Non-Gov,52783
De La Salle College - Kinnoull Campus,Malvern,VIC,3144,Combined,Non-Gov,40894
"De La Salle College, Revesby Heights",Revesby Heights,NSW,2212,Secondary,Non-Gov,43472
Deanmore Primary School,Karrinyup,WA,6018,Primary,Gov,48505
Deans Marsh Primary School,Deans Marsh,VIC,3235,Primary,Gov,44331
Deanside Primary School,Deanside,VIC,3336,Primary,Gov,53061
Debney Meadows Primary School,Flemington,VIC,3031,Primary,Gov,45001
Deception Bay Flexible School,Deception Bay,QLD,4508,Special,Non-Gov,47927
Deception Bay Flexible School - 45 Grosvenor Terrace Campus,Deception Bay,QLD,4508,Special,Non-Gov,52795
Deception Bay North State School,Deception Bay,QLD,4508,Primary,Gov,47302
Deception Bay State High School,Deception Bay,QLD,4508,Secondary,Gov,47492
Deception Bay State School,Deception Bay,QLD,4508,Primary,Gov,46581
Dederang Primary School,Dederang,VIC,3691,Primary,Gov,44355
Dee Why Public School,Dee Why,NSW,2099,Primary,Gov,41206
Deebing Heights State School,Deebing Heights,QLD,4306,Primary,Gov,52244
Deepdene Primary School,Deepdene,VIC,3103,Primary,Gov,44637
Deepwater Public School,Deepwater,NSW,2371,Primary,Gov,42434
Deer Park North Primary School,Deer Park,VIC,3023,Primary,Gov,45008
Deer Park West Primary School,Deer Park,VIC,3023,Primary,Gov,44978
Delacombe Primary School,Delacombe,VIC,3356,Primary,Gov,45081
Delaneys Creek State School,Delaneys Creek,QLD,4514,Primary,Gov,46848
Delany College,Granville,NSW,2142,Secondary,Non-Gov,43219
Delegate Public School,Delegate,NSW,2633,Primary,Gov,42760
Deloraine High School,Deloraine,TAS,7304,Secondary,Gov,40061
Deloraine Primary School,Deloraine,TAS,7304,Primary,Gov,40177
Delungra Public School,Delungra,NSW,2403,Primary,Gov,42435
Denham Court Public School,Denham Court,NSW,2565,Primary,Gov,52929
Deniliquin High School,Deniliquin,NSW,2710,Secondary,Gov,42700
Deniliquin North Public School,Deniliquin,NSW,2710,Primary,Gov,42668
Deniliquin South Public School,Deniliquin,NSW,2710,Primary,Gov,42659
"Denison College of Secondary Education, Bathurst High Campus",Bathurst,NSW,2795,Secondary,Gov,43097
"Denison College of Secondary Education, Kelso High Campus",Kelso,NSW,2795,Secondary,Gov,43122
Denison State School,Emerald,QLD,4720,Primary,Gov,46677
Denistone East Public School,Eastwood,NSW,2122,Primary,Gov,41256
Denman Public School,Denman,NSW,2328,Primary,Gov,41881
Denmark Primary School,Denmark,WA,6333,Primary,Gov,48748
Denmark Senior High School,Denmark,WA,6333,Secondary,Gov,48173
Depot Hill State School,Depot Hill,QLD,4700,Primary,Gov,46911
Derby District High School,Derby,WA,6728,Combined,Gov,48174
Derinya Primary School,Frankston South,VIC,3199,Primary,Gov,44959
Dernancourt School,Dernancourt,SA,5075,Primary,Gov,49551
Derrimut Primary School,Derrimut,VIC,3030,Primary,Gov,45266
Derrinallum P-12 College,Derrinallum,VIC,3325,Combined,Gov,45183
Deutsche Schule Melbourne,Fitzroy North,VIC,3068,Primary,Non-Gov,40823
Devon Meadows Primary School,Devon Meadows,VIC,3977,Primary,Gov,44672
Devonport Christian School,Don,TAS,7310,Primary,Non-Gov,40233
Devonport High School,Devonport,TAS,7310,Secondary,Gov,40098
Devonport Primary School,Devonport,TAS,7310,Primary,Gov,40187
Dharra School,Aintree,VIC,3336,Special,Gov,53306
Dhupuma Barker,East Arnhem,NT,880,Primary,Non-Gov,53009
Diamond Creek East Primary School,Diamond Creek,VIC,3089,Primary,Gov,44982
Diamond Creek Primary School,Diamond Creek,VIC,3089,Primary,Gov,44176
Diamond Valley College,Diamond Creek,VIC,3089,Secondary,Gov,45521
Diamond Valley Special Developmental School,Greensborough,VIC,3088,Special,Gov,45055
Diamond Valley Special Developmental School - Whittlesea Campus,Whittlesea,VIC,3757,Special,Gov,52922
Dianella Heights Primary School,Dianella,WA,6059,Primary,Gov,48355
Dianella Primary College,Dianella,WA,6059,Primary,Gov,48451
Dianella Secondary College,Dianella,WA,6059,Secondary,Gov,48143
Dianella Secondary College Education Support Centre,Dianella,WA,6059,Special,Gov,48828
Dickson College,Dickson,ACT,2602,Secondary,Gov,49915
Diggers Rest Primary School,Diggers Rest,VIC,3427,Primary,Gov,44472
Dillbadin Primary School,Boronia,VIC,3155,Primary,Gov,44903
Dimboola Memorial Secondary College,Dimboola,VIC,3414,Secondary,Gov,45376
Dimboola Primary School,Dimboola,VIC,3414,Primary,Gov,44264
Dimbulah State School,Dimbulah,QLD,4872,Combined,Gov,47070
Dingley Primary School,Dingley Village,VIC,3172,Primary,Gov,44730
Dingo State School,Dingo,QLD,4702,Primary,Gov,46594
Dinjerra Primary School,Braybrook,VIC,3019,Primary,Gov,45238
Dirranbandi P-10 State School,Dirranbandi,QLD,4486,Combined,Gov,46983
Discovery Christian College,Agnes Water,QLD,4677,Combined,Non-Gov,51499
Divine Mercy College,Yangebup,WA,6164,Combined,Non-Gov,40294
Divrei Emineh,Ormond,VIC,3204,Combined,Non-Gov,50505
Djarragun College,Gordonvale,QLD,4865,Combined,Non-Gov,48111
Djarragun College - Girl Academy Campus,Wangetti Beach,QLD,4877,Secondary,Non-Gov,50392
Djerriwarrh Community & Education Services - Djerriwarrh Community College,Melton,VIC,3337,Secondary,Non-Gov,53016
Djidi Djidi Aboriginal School,Bunbury,WA,6230,Primary,Gov,48742
Djugerari Remote Community School,Djugerari Community,WA,6765,Primary,Gov,48327
Dobroyd Point Public School,Haberfield,NSW,2045,Primary,Gov,41071
Docklands Primary School,Docklands,VIC,3008,Primary,Gov,52915
Docklands Primary School-Bundha Campus,Docklands,VIC,3008,Primary,Gov,53262
Dodges Ferry Primary School,Dodges Ferry,TAS,7173,Primary,Gov,40239
Dohertys Creek P-9 College,Truganina,VIC,3029,Combined,Gov,52701
Dominic College,Glenorchy,TAS,7010,Combined,Non-Gov,40236
Dominican School,Semaphore,SA,5019,Primary,Non-Gov,49696
Domremy Catholic College,Five Dock,NSW,2046,Secondary,Non-Gov,43498
Don Bosco School,Narre Warren,VIC,3805,Primary,Non-Gov,46062
Don College,Devonport,TAS,7310,Secondary,Gov,50255
Don Valley Primary School,Don Valley,VIC,3139,Primary,Gov,44684
Donald High School,Donald,VIC,3480,Secondary,Gov,45378
Donald Primary School,Donald,VIC,3480,Primary,Gov,44288
Donburn Primary School,Doncaster East,VIC,3109,Primary,Gov,44972
Doncaster Gardens Primary School,Doncaster East,VIC,3109,Primary,Gov,45240
Doncaster Primary School,Doncaster,VIC,3108,Primary,Gov,44055
Doncaster Secondary College,Doncaster,VIC,3108,Secondary,Gov,45379
Dongara District High School,Dongara,WA,6525,Combined,Gov,48221
Donnybrook District High School,Donnybrook,WA,6239,Combined,Gov,48175
Donnybrook District High School - Junior Campus (K-6),Donnybrook,WA,6239,Primary,Gov,50451
Donnybrook Primary School,Donnybrook,VIC,3064,Primary,Gov,53175
Donvale Christian College,Donvale,VIC,3111,Combined,Non-Gov,46235
Donvale Christian College - Hall Road Campus,Warrandyte South,VIC,3134,Combined,Non-Gov,52984
Donvale Primary School,Donvale,VIC,3111,Primary,Gov,44936
Dookie Primary School,Dookie,VIC,3646,Primary,Gov,44303
Doomadgee State School,Doomadgee,QLD,4830,Combined,Gov,46636
Doonside High School,Doonside,NSW,2767,Secondary,Gov,41820
Doonside Public School,Doonside,NSW,2767,Primary,Gov,41624
Dora Creek Public School,Dora Creek,NSW,2264,Primary,Gov,41883
Dorchester School,Campbelltown,NSW,2560,Special,Gov,40650
Doreen Primary School,Doreen,VIC,3754,Primary,Gov,44169
Dorrigo High School,Dorrigo,NSW,2453,Secondary,Gov,42396
Dorrigo Public School,Dorrigo,NSW,2453,Primary,Gov,42371
Dorroughby Environmental Education Centre,Dorroughby,NSW,2480,Combined,Gov,40749
Dorset Primary School,Croydon,VIC,3136,Primary,Gov,45036
Double Bay Public School,Double Bay,NSW,2028,Primary,Gov,41013
Doubleview Primary School,Doubleview,WA,6018,Primary,Gov,48356
Douglas Daly School,Douglas-Daly,NT,822,Primary,Gov,50086
Douglas Park Public School,Douglas Park,NSW,2569,Primary,Gov,41381
Dover District School,Dover,TAS,7117,Combined,Gov,40056
Doveton College,Doveton,VIC,3177,Combined,Gov,50458
Dowerin District High School,Dowerin,WA,6461,Combined,Gov,48176
Downlands College,Toowoomba,QLD,4350,Combined,Non-Gov,47895
DOXA School Bendigo,Bendigo,VIC,3550,Special,Non-Gov,46120
Drake Public School,Drake,NSW,2469,Primary,Gov,42199
Drayton State School,Drayton,QLD,4350,Primary,Gov,46417
Drillham State School,Drillham,QLD,4424,Primary,Gov,46931
Dripstone Secondary College,Tiwi,NT,810,Secondary,Gov,50000
Driver Primary School,Driver,NT,830,Primary,Gov,50019
Driver Secondary School,Driver,NT,830,Secondary,Gov,53578
Dromana Primary School,Dromana,VIC,3936,Primary,Gov,44054
Dromana Secondary College,Dromana,VIC,3936,Secondary,Gov,45330
Drouin Primary School,Drouin,VIC,3818,Primary,Gov,44383
Drouin Secondary College,Drouin,VIC,3818,Secondary,Gov,45380
Drouin Secondary College-Blackwood Annexe,Hallora,VIC,3818,Secondary,Gov,52222
Drouin South Primary School,Drouin South,VIC,3818,Primary,Gov,44453
Drouin West Primary School,Drouin West,VIC,3818,Primary,Gov,44275
Drummond Memorial Public School,Armidale,NSW,2350,Primary,Gov,42411
Drummoyne Public School,Drummoyne,NSW,2047,Primary,Gov,41014
Dryandra Primary School,Mirrabooka,WA,6061,Primary,Gov,48692
Drysdale Primary School,Drysdale,VIC,3222,Primary,Gov,44332
Duaringa State School,Duaringa,QLD,4712,Primary,Gov,46644
Dubbo Christian School,Dubbo,NSW,2830,Combined,Non-Gov,43702
Dubbo College Delroy Campus,Dubbo West,NSW,2830,Secondary,Gov,43124
Dubbo College Senior Campus,Dubbo,NSW,2830,Secondary,Gov,40707
Dubbo College South Campus,Dubbo,NSW,2830,Secondary,Gov,43115
Dubbo North Public School,Dubbo,NSW,2830,Primary,Gov,42973
Dubbo Public School,Dubbo,NSW,2830,Primary,Gov,42972
Dubbo School of Distance Education,Dubbo,NSW,2830,Combined,Gov,43085
Dubbo South Public School,Dubbo,NSW,2830,Primary,Gov,42975
Dubbo West Public School,Dubbo,NSW,2830,Primary,Gov,43063
Dudley Park Primary School,Mandurah,WA,6210,Primary,Gov,48615
Dudley Public School,Dudley,NSW,2290,Primary,Gov,41884
Duffy Primary School,Duffy,ACT,2611,Primary,Gov,49940
Dulacca State School,Dulacca,QLD,4425,Primary,Gov,47048
Dulwich High School of Visual Arts and Design,Dulwich Hill,NSW,2203,Secondary,Gov,41190
Dulwich Hill Public School,Dulwich Hill,NSW,2203,Primary,Gov,41106
Dumbleyung Primary School,Dumbleyung,WA,6350,Primary,Gov,48753
Dunalley Primary School,Dunalley,TAS,7177,Primary,Gov,40073
Duncraig Primary School,Duncraig,WA,6023,Primary,Gov,48607
Duncraig Senior High School,Duncraig,WA,6023,Secondary,Gov,48219
Dundas Public School,Dundas,NSW,2117,Primary,Gov,41690
Dundee Beach School,Dundee Beach,NT,840,Combined,Gov,50087
Dundula State School,Bakers Creek,QLD,4740,Primary,Gov,47263
Dundurrabin Public School,Dundurrabin,NSW,2453,Primary,Gov,42201
Dunedoo Central School,Dunedoo,NSW,2844,Combined,Gov,42974
Dungay Public School,Dungay,NSW,2484,Primary,Gov,42202
Dungog High School,Dungog,NSW,2420,Secondary,Gov,42119
Dungog Public School,Dungog,NSW,2420,Primary,Gov,41885
Dungowan Public School,Dungowan,NSW,2340,Primary,Gov,42436
Dunkeld Consolidated School,Dunkeld,VIC,3294,Primary,Gov,45297
Dunkeld Consolidated School Glenthompson Primary School,Glenthompson,VIC,3294,Primary,Gov,45298
Dunkeld State School,Dunkeld,QLD,4465,Primary,Gov,46952
"Dunlea Centre, Australia's Original Boys' Town",Engadine,NSW,2233,Special,Non-Gov,43687
Dunolly Primary School,Dunolly,VIC,3472,Primary,Gov,44316
Dunoon Public School,Dunoon,NSW,2480,Primary,Gov,42203
Dunsborough Christian College,Dunsborough,WA,6281,Combined,Non-Gov,53386
Dunsborough Primary School,Dunsborough,WA,6281,Primary,Gov,48357
Dunwich State School,Dunwich,QLD,4183,Primary,Gov,46892
Durack Primary School,Durack,NT,830,Primary,Gov,50020
Durack State School,Durack,QLD,4077,Primary,Gov,46966
Dural Public School,Dural,NSW,2158,Primary,Gov,41207
Duranbah Public School,Duranbah,NSW,2487,Primary,Gov,42204
Durham Road School,Bayswater,WA,6053,Special,Gov,48806
Duri Public School,Duri,NSW,2344,Primary,Gov,42437
Durithunga Gunya - LWB Education,Logan Central,QLD,4114,Secondary,Non-Gov,53575
Durong South State School,Durong,QLD,4610,Primary,Gov,47216
Dutton Park State School,Dutton Park,QLD,4102,Primary,Gov,46750
Dwellingup Primary School,Dwellingup,WA,6213,Primary,Gov,48358
Dysart State High School,Dysart,QLD,4745,Secondary,Gov,47535
Dysart State School,Dysart,QLD,4745,Primary,Gov,46472
E A Southee Public School,Cootamundra,NSW,2590,Primary,Gov,42672
Eagle Junction State School,Clayfield,QLD,4011,Primary,Gov,46868
Eagle Point Primary School,Eagle Point,VIC,3878,Primary,Gov,44572
Eagle Vale High School,Eagle Vale,NSW,2558,Secondary,Gov,41606
Eagleby South State School,Eagleby,QLD,4207,Primary,Gov,47298
Eagleby State School,Eagleby,QLD,4207,Primary,Gov,47383
